time (s)	det(V)
5376.973540	0.634292	
5376.975539	0.492630	
5376.977540	0.346732	
5376.979540	0.202701	
5376.983539	0.050486	
5376.985540	-0.256830	
5376.989540	-0.405458	
5376.991541	-0.682225	
5376.993540	-0.825410	
5376.995539	-0.968889	
5376.997540	-1.107748	
5377.001539	-1.250271	
5377.003540	-1.548521	
5377.005539	-1.656239	
5377.009540	-1.663827	
5377.011540	-1.664222	
5377.013540	-1.664428	
5377.015539	-1.664568	
5377.017540	-1.664750	
5377.021539	-1.664945	
5377.025539	-1.665176	
5377.027540	-1.665317	
5377.029539	-1.665303	
5377.031540	-1.665330	
5377.033541	-1.665320	
5377.035540	-1.665306	
5377.039541	-1.665362	
5377.041540	-1.665310	
5377.043539	-1.665293	
5377.047540	-1.665327	
5377.049540	-1.665320	
5377.051539	-1.665335	
5377.053540	-1.665345	
5377.055541	-1.665341	
5377.059539	-1.665368	
5377.063539	-1.665305	
5377.065540	-1.665349	
5377.067540	-1.665394	
5377.069540	-1.665365	
5377.071540	-1.665343	
5377.073540	-1.665321	
5377.075540	-1.665310	
5377.077539	-1.665327	
5377.079539	-1.665364	
5377.081540	-1.665333	
5377.083542	-1.665314	
5377.087540	-1.665339	
5377.089539	-1.665353	
5377.091540	-1.665315	
5377.093540	-1.665362	
5377.095540	-1.665340	
5377.097539	-1.665310	
5377.099539	-1.665340	
5377.101540	-1.665314	
5377.103539	-1.665369	
5377.105540	-1.665337	
5377.109540	-1.665364	
5377.111540	-1.665356	
5377.113540	-1.665363	
5377.115540	-1.665376	
5377.117540	-1.665384	
5377.121539	-1.665363	
5377.123540	-1.665365	
5377.125540	-1.665349	
5377.129540	-1.665319	
5377.131540	-1.665127	
5377.133540	-1.665073	
5377.135543	-1.664970	
5377.137540	-1.664879	
5377.141539	-1.664672	
5377.145539	-1.664482	
5377.147540	-1.664242	
5377.149539	-1.664140	
5377.151539	-1.664023	
5377.153539	-1.663929	
5377.155541	-1.663813	
5377.157539	-1.659436	
5377.159540	-1.605634	
5377.161540	-1.531793	
5377.163540	-1.460979	
5377.167540	-1.394519	
5377.169541	-1.277785	
5377.171540	-1.219594	
5377.173540	-1.165986	
5377.175539	-1.111339	
5377.177540	-1.057271	
5377.179539	-1.007936	
5377.181540	-0.965200	
5377.183539	-0.926122	
5377.185540	-0.883417	
5377.189541	-0.842909	
5377.191540	-0.760174	
5377.193539	-0.717177	
