crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	-44.593430	5770	0.000000
281474976710655.000000	-44.230965	5771	0.000000
281474976710655.000000	-88.688560	5772	0.000000
281474976710655.000000	-36.704746	5773	0.000000
281474976710655.000000	-71.905739	5774	0.000000
281474976710655.000000	-46.804581	5775	0.000000
281474976710655.000000	-71.536064	5776	0.000000
281474976710655.000000	-75.014122	5777	0.000000
281474976710655.000000	-53.402714	5778	0.000000
281474976710655.000000	-55.372856	5779	0.000000
281474976710655.000000	-54.382919	5780	0.000000
281474976710655.000000	-54.425312	5781	0.000000
281474976710655.000000	-53.599731	5782	0.000000
281474976710655.000000	-49.613972	5783	0.000000
281474976710655.000000	-41.803127	5784	0.000000
281474976710655.000000	-55.846420	5785	0.000000
281474976710655.000000	-55.681271	5786	0.000000
281474976710655.000000	-45.248150	5787	0.000000
281474976710655.000000	-42.942825	5788	0.000000
281474976710655.000000	-52.536816	5789	0.000000
281474976710655.000000	-53.450974	5790	0.000000
281474976710655.000000	-60.066105	5791	0.000000
281474976710655.000000	-52.970882	5792	0.000000
281474976710655.000000	-42.311550	5793	0.000000
281474976710655.000000	-51.526005	5794	0.000000
281474976710655.000000	-55.234829	5795	0.000000
281474976710655.000000	-52.410427	5796	0.000000
281474976710655.000000	-54.468037	5797	0.000000
281474976710655.000000	-58.895977	5798	0.000000
281474976710655.000000	-52.910789	5799	0.000000
281474976710655.000000	-52.209862	5800	0.000000
281474976710655.000000	-36.162407	5801	0.000000
281474976710655.000000	-34.888649	5802	0.000000
281474976710655.000000	-54.079823	5803	0.000000
281474976710655.000000	-43.157150	5804	0.000000
281474976710655.000000	-41.308037	5805	0.000000
281474976710655.000000	-41.054646	5806	0.000000
281474976710655.000000	-37.268230	5807	0.000000
281474976710655.000000	-43.789478	5808	0.000000
281474976710655.000000	-51.728058	5809	0.000000
281474976710655.000000	-81.673561	5810	0.000000
281474976710655.000000	-52.164944	5811	0.000000
281474976710655.000000	-41.861927	5812	0.000000
281474976710655.000000	-51.376511	5813	0.000000
281474976710655.000000	-52.744785	5814	0.000000
